auditors,count
PRICEWATERHOUSECOOPERS,452
ERNST & YOUNG,376
DELOITTE,372
KPMG,198
BDO,187
CHENG & CHENG,134
OTHERS,97
SHINEWING,69
ZHONGHUI ANDA,64
GRANT THORNTON,54
MAZARS,52
ELITE PARTNERS,49
RSM,45
MOORE STEPHENS,42
CROWE,38
BAKER TILLY,29
HLM,22
MCMILLAN WOODS,16
CCTH,15
ASIAN ALLIANCE,11
WUYIGE,7
ZENITH,7
PKF,7
ASCENDA CACHET,7
PAN,6
D & PARTNERS,6
CONFUCIUS,6
KTC PARTNERS,6
LAU & AU YEUNG,4
GRAHAM H.Y. CHAN & CO.,3
DA HUA,3
FUSON,3
WELLINK,3
TING HO KWAN & CHAN,2
CLEMENT C.W. CHAN & CO.,1
LKY,1
MCM,1
RUIHUA,1
MARTIN C.K. PONG & COMPANY,1
LINKSFIELD,1
JH CPA ALLIANCE,1
